rural,time_learn,gender,familyincome,g1_1,g2_1,g3_1,g4_1,g5_1,g6_1,g7_1,g8_1,g9_1,a1_1,a2_1,a3_1,a4_1,a5_1,a6_1,a7_1,a8_1,b1_1,b2_1,b3_1,b4_1,b5_1,b6_1,b7_1,b8_1,e1_1,e2_1,e3_1,e4_1,e5_1,e6_1,e7_1,e8_1,e9_1,e10_1,e11_1,eg1_1,eg2_1,eg3_1,eg4_1,eg5_1,eg6_1,eg7_1,eg8_1,eg9_1,eg10_1,eg11_1,eg12_1,eg13_1,eg14_1,eg15_1,eg16_1,eg17_1,eg18_1,eg19_1,eg20_1,eg21_1,g1_2,g2_2,g3_2,g4_2,g5_2,g6_2,g7_2,g8_2,g9_2,a1_2,a2_2,a3_2,a4_2,a5_2,a6_2,a7_2,a8_2,b1_2,b2_2,b3_2,b4_2,b5_2,b6_2,b7_2,b8_2,e1_2,e2_2,e3_2,e4_2,e5_2,e6_2,e7_2,e8_2,e9_2,e10_2,e11_2,eg1_2,eg2_2,eg3_2,eg4_2,eg5_2,eg6_2,eg7_2,eg8_2,eg9_2,eg10_2,eg11_2,eg12_2,eg13_2,eg14_2,eg15_2,eg16_2,eg17_2,eg18_2,eg19_2,eg20_2,eg21_2,g1_3,g2_3,g3_3,g4_3,g5_3,g6_3,g7_3,g8_3,g9_3,a1_3,a2_3,a3_3,a4_3,a5_3,a6_3,a7_3,a8_3,b1_3,b2_3,b3_3,b4_3,b5_3,b6_3,b7_3,b8_3,e1_3,e2_3,e3_3,e4_3,e5_3,e6_3,e7_3,e8_3,e9_3,e10_3,e11_3,eg1_3,eg2_3,eg3_3,eg4_3,eg5_3,eg6_3,eg7_3,eg8_3,eg9_3,eg10_3,eg11_3,eg12_3,eg13_3,eg14_3,eg15_3,eg16_3,eg17_3,eg18_3,eg19_3,eg20_3,eg21_3,grit1,grit2,grit3,anxiety1,anxiety2,anxiety3,bored1,bored2,bored3,enjoy1,enjoy2,enjoy3,engage1,engage2,engage3
1,4,1,4,3,2,2,3,2,3,4,4,4,1,1,1,5,5,4,3,3,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,2,2,2,2,4,4,3,2,3,3,2,3,2,3,3,2,2,2,3,3,2,2,3,2,3,2,2,3,3,2,3,3,3,3,2,2,3,3,3,3,3,3,2,3,2,3,2,2,2,2,3,2,3,2,4,3,2,2,2,2,2,4,5,5,3,3,3,4,3,3,3,2,3,2,3,2,4,3,3,3,4,2,3,2,3,3,3,3,5,5,4,2,3,2,2,3,3,3,2,1,2,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,2,3,3,2.666666667,3.444444444,3.875,3.25,2.75,2,2.25,1.125,2.71,2.57,3,2.63,3.17,2.96
1,4,1,3,1,1,1,1,1,5,3,3,5,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,4,1,2,4,2,5,3,1,1,5,5,5,5,5,1,4,4,4,4,4,4,4,5,4,3,4,4,4,2,4,1,1,1,2,2,2,2,2,2,2,4,4,2,2,3,4,3,4,4,4,4,4,2,4,4,1,1,2,4,4,5,2,5,5,1,1,1,1,2,2,2,2,1,4,4,4,4,4,4,4,1,4,3,4,3,2,4,1,1,1,2,2,2,2,1,1,4,5,2,1,2,2,1,4,3,4,3,2,2,2,2,4,2.333333333,2.777777778,3.222222222,4.5,4.5,2.5,5,4.125,3.625,1,3.43,3,1.12,2.93,2.56
0,6,1,3,2,2,2,2,2,3,3,3,3,1,1,3,4,4,4,4,3,2,2,2,2,2,2,3,2,2,4,3,2,3,1,2,2,2,1,2,4,2,2,2,3,3,3,2,3,3,2,2,4,3,2,3,3,3,1,2,2,2,2,2,2,2,2,3,2,2,1,1,2,4,4,4,4,3,2,2,2,2,2,2,2,2,3,5,3,2,3,2,3,2,2,1,2,4,2,2,2,3,3,3,2,2,3,3,3,5,3,2,3,3,2,2,3,3,2,2,2,3,3,3,3,3,3,2,3,2,2,4,4,4,4,2,2,2,2,2,3,2,2,4,4,3,2,2,1,3,2,3,2,1,5,3,2,1,3,4,3,3,3,3,3,4,4,3,2,2,3,2,1,2,3,2.444444444,2.111111111,2.666666667,4,3.875,3.375,2.125,2,2.125,2.29,2.71,2.71,2.51,2.79,2.76
1,5,1,4,3,1,2,2,4,4,5,3,3,1,2,2,2,2,2,2,5,3,1,3,2,1,2,2,1,1,3,2,2,3,4,3,2,3,1,1,3,2,2,3,2,3,3,4,3,3,2,1,3,2,2,3,3,2,4,3,3,3,3,2,3,3,4,4,2,2,2,3,2,4,4,4,5,3,2,1,2,2,1,3,2,1,3,3,4,2,5,4,2,3,4,2,2,3,2,3,2,3,2,4,3,2,3,4,3,3,4,2,5,4,4,4,2,2,3,3,4,3,4,2,2,3,2,2,3,2,4,5,5,4,5,2,2,2,2,3,2,4,2,4,4,4,3,2,2,4,2,2,1,2,5,3,2,2,2,3,4,3,3,2,5,4,4,4,3,2,3,2,2,2,4,3,2.888888889,2.888888889,3,3.625,4,1.875,1.75,2.375,2.57,3.43,3,2.81,3.13,3.13
1,8,1, ,3,3,3,3,5,3,5,5,5,1,1,5,2,5,5,5,5,1,1,1,1,1,1,1,1,2,5,3,2,2,2,4,1,1,2,1,5,3,3,1,2,5,5,4,2,3,3,2,5,3,2,2,4,2,2,4,4,4,4,2,2,4,1,3,3,2,1,1,5,4,5,5,5,4,1,1,1,1,1,1,1,1,4,5,5,3,5,2,5,1,1,1,1,5,2,4,1,3,5,4,4,3,4,2,4,5,5,3,5,2,4,2,2,5,3,5,5,4,3,3,2,3,4, ,1,5,3,5,5,5,5,2,1,1,1,1,1,2,1,3,4,3,3,3,3,4,3,3,1,1,5,2,5,1,2,5,5,4,5,5,3,3,4,3,3,3,2,2,3,2,4,3.888888889,2.777777778,3.555555556,4.625,4.75, ,1,1,1.25,2.29,3.71,2.14,3.04,3.67,3.37
1,5,1, ,3,3,4,3,3,2,4,4,5,5,3,4,4,5,5,4,4,1,2,2,1,1,3,2,2,2,3,2,3,2,2,3,2,3,1,2,3,1,1,1,1,3,5,3,2,3,3,2,3,2,3,2,3,2,2,2,3,3,2,5,3,5,3,4,3,4,1,1,1,1,1,1,1,2,2,2,2,2,2,3,3,1,2,3,2,4,2,2,3,2,4,2,2,4,2,2,1,1,3,3,3,2,3,4,2,3,2,4,2,2,2,2,2,3,3,3,3,2,4,3,4,3,3,1,2,2,4,4,4,4,4,3,2,2,2,2,3,2,2,3,4,3,4,3,2,3,3,3,1,3,4,2,2,2,2,5,3,4,3,3,3,3,4,3,4,3,3,3,2,3,3,3.444444444,3.555555556,3.111111111,3.75,2.125,3.875,1.75,2.125,2.25,2.14,2.29,3.29, ,2.62,3.1
1,5,0,2,4,3,5,5,3,4,5,2,4,4,4,1,2,3,2,1,1,1,1,1,2,2,1,1,1,4,5,5,5,4,3,5,3,3,4,3,4,3,3,2,3,3,2,3,3,4,3,4,5,5,5,4,2,3,3,2,5,3,3,4,4,2,4,3,3,3,4,3,1,2,2,2,1,1,1,2,2,2,2,2,2,1,3,3,3,4,4,2,4,3,3,4,2,4,3,3,2,3,3,4,3,4,4,4,3,3,3,4,4,3,2,2,2,4,3,2,4,4,3,3,3,2,2,3,3,1,2,1,1,1,1,2,2,1,1,1,2,2,2,2,4,3,3,3,2,3,3,3,2,2,3,3,2,2,4,4,5,4,3,4,4,2,4,3,3,3,3,2,2,2,3,3.888888889,3.222222222,2.888888889,1.75,1.75,1.625,1.25,1.75,1.625,4.29,3.71,3,3.17,3.43,3.28
1,7,1,2,2,3,2,3,3,3,5,3,4,2,2,1,1,4,1,1,1,1,2,1,3,3,3,3,3,2,2,2,2,3,2,3,1,1,1,2,3,2,2,2,2,3,3,2,3,2,3,2,2,2,2,3,2,3,2,2,3,3,3,3,3,3,3,4,4,3,2,1,2,2,3,2,2,1,2,1,1,2,3,3,3,3,2,2,2,2,3,2,3,1,1,2,1,2,1,2,1,1,2,3,3,2,2,3,2,2,2,2,3,2,2,2,2,3,2,3,1,1,2,4,3,3,3,1,1,1,2,3,2,3,2,2,3,2,2,2,3,3,2,1,2,2,2,1,1,2,1,1,1,2,2,2,1,1,2,2,2,3,2,3,2,1,2,2,2,1,2,1,1,2,2,3.111111111,3.222222222,2.444444444,2.125,2.625,2.875,2.375,2.25,2.375,2,2.29,1.43,2.45,2.26,1.85
0,5,1, ,4,4,5,5,4,2,5,5,5,2,3,3,3,5,4,5,4,1,1,1,1,1,1,1,1,3,5,5,5,4,5,5,3,4,3,1,5,3,3,2,3,5,3,3,3,3,5,3,5,5,5,4,4,4,5,4,5,5,5,5,5,5,1,5,5,5,2,2,4,3,5,4,5,4,1,1,1,1,1,1,1,1,4,4,4,4,4,4,5,4,5,3,2,5,3,4,3,4,5,5,4,4,4,3,4,4,4,4,4,3,3,4,3,5,3,4,3,3,3,2,4,5,5,2,2,5,4,5,5,5,5,3,1,1,1,1,3,2,1,4,5,4,3,3,3,4, , , , ,5,4,5,3,4,5,5,3,4,3,5,4,5,4,3,3,3,3,3,2,4,4.333333333,4.555555556,3.555555556,3.875,4.125,4.625,1,1,1.625,4.14,3.43,3.14,3.97,3.94,3.84
1,5,1,3,2,2,2,2,3,2,1,1,1,1,3,4,5,5,5,5,5,5,2,2,2,2,3,3,3,4,4,3,3,2,5,3,2,2,2,3,4,2,2, ,3,3, ,2,2,3,3,4,4,3,3,2,3,3,5,4,3,2,2,2,2,3,3,1,1,2,1,1,4,5,5,5,5,4,3,3,2,2,2,2,2,2,2,4,3,2,2,3,2,2,2,1,2,4,3,3,1,3,3,3,3,2,3,3,2,4,3,2,2,2,4,3,2,2,3,3,2,2,3,3,3,2,1,1,1,5,5,5,5,5,5,2,2,3,2,2,2,3,2,2,4,3,3,2,2,3,2,2,2,3,4,3,3,1,3,4,3,4,2,4,3,2,4,3,3,2,1,5,2,2,3,1.777777778,2,2.444444444,4.625,4.75,5,2.75,2.25,2.25,2.86,2.14,2.14, ,2.71,2.71
1,8,1,5,4,3,5,5,3,2,5,4,4,5,4,5,5,5,5,1,1,1,2,2,2,2,2,1,1,4,5,5,4,5,4,4,4,4,4,3,4,4,4,3,4,5,4,4,4,4,4,4,5,5,4,5,4,3,4,3,4,3,3,5,5,3,1,3,1,1,2,2,5,4,4,4,2,2,2,3,3,3,3,3,3,2,4,4,4,3,4,4,4,3,2,3,1,4,4,4,3,3,4,4,3,4,4,4,4,4,4,3,4,3,3,4,4,4,2,2,4,3,3,3,4,2,1,2,2,5,5,5,5,5,2,2,4,4,4,5,5,2,2,4,5,4,3,3,3,3,2,2,2,2,2,3,3,3,2,5,2,3,4,4,4,4,5,4,3,3,2,2,3,3,3,3.888888889,2.777777778,2.666666667,3.125,3.625,4.375,1.625,2.75,3.5,4.43,3.57,3.29,4.06,3.75,3.25
1,7,1,5,4,1,5,5,5,2,4,5,5,4,3,1,3,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,5,5,5,5,2,3,3,2,4,5,5,4,4,4,5,4,4,3,5,2,3,2,5,5,4,4,5,3,5,3,3,5,5,5,2,1,1,1,5,4,4,4,4,3,4,3,4,4,3,4,3,4,3,4,4,4,3,4,4,3,3,3,4,4,2,2,2,2,4,3,2,3,3,4,4,4,4,4,3,4,4,3,3,3,4,3,4,3,4,4,4,3,5,4,5,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,3,3,3,4,4,3,3,2,2,4,3,4,4,4,4,3,4,4,3,4,4,3,3,3,3,4,4,3,3,3,3,3,4,2.888888889,4,1.625,3.125,2.5,1,3.625,2.125,3.71,3.57,3.43,3.99,3.39,3.41
0,5,1,3,2,3,3,4,3,3,3,2,2,4,2,2,4,4,3,3,3,1,4,2,3,2,4,4,4,2,4,2,2,3,3,2,3,2,2,2,4,2,2,2,3,4,5,2,2,1,2,2,4,2,2,3,3,4,3,3,2,3,3,3,2,3,1,2,2,3,2,3,4,4,4,4,4,3,2,4,3,4,3,4,4,3,3,4,4,3,3,2,3,2,2,2,2,4,3,4,2,3,3,5,3,2,3,3,3,4,4,3,3,4,4,2,4,3,2,3,4,5,3,3,2,2,1,2,2,3,2,1,3,4,3,3,2,3,4,3,2,5,4,2,3,3,2,3,3,3,3,3,2,2,3,3,4,2,4,3,2,3,3,4,3,2,3,3,2,3,3,3,3,5,3,2.777777778,2.444444444,2.777777778,3.125,3.75,3,3,3.375,3.25,2.29,3.14,2.57,2.67,3.29,3.11
1,3,1,5,1,1,2,2,1,3,4,5,5,3,1,1,5,3,3, ,3,3,3,2,2,2,5,3,3,1,2,2,2,1,1,1,1,1,1,1,2,1,1,1,1,1,3,1,1,1,1,1,2,2,2,1,1,4,1,1,1,2,2,2,2,2,4,4,4,4,2,2,2,3,3,3,3,3,3,2,3,2,2,3,3,3,1,2,2,2,1,1,2,2,2,2,2,3,2, ,1,1,2,3,2,2,2,2,1,2,2,2,1,2,3,1,2,2,3,3,2,2,3,4,4,4,4,2,2,2,2,3,3,2,3,3,2,2,2,2,3,3,2,2,3,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,3,3,2,2,3,2,3,2,2,2,3,3,2,2,2,2.666666667,2.888888889,3.222222222, ,3.125,2.875,2.875,2.625,2.375,1.57,1.29,2,1.38, ,2.4
1,8,1,4,2,3,3,2,2,3,3,3,3,2,2,4,4,5,5,5,5,2,3,3,3,3,3,3,3,1,2, ,2,2,2,1,4,4,3,2,4,3,3,1,2,4,4,3,3,2,2,1,2, ,2,2,3,4,2,1,1,3,4,4,4,3,2,2,2,2,2,2,5,5,5,5,5,5,1,2,2,2,2,2,3,2,3,4,3,4,4,4,3,3,3,2,2,4,2,2,2,3,3,3,2,3,3,4,3,4,3,4,4,3,3,4,4,3,3,4,3,2,4,2,4,3,3,1,2,5,5,5,5,5,5,1,1,1,1,1,1,1,1,3,4,4,4,4,3,4,3,3,3,4,4,4,3,3,4,4,5,4,3,3,4,3,4,4,4,4,5,5,3,3,4,2.666666667,2.888888889,3.111111111,4.5,4.75,4.875,2.875,2,1, ,3.29,3.57, ,3.12,3.77
1,4,1,4,1,3,1,1,1,1,5,5,5,5,1,1,5,1,2,1,3,1,1,1,1,1,2,1,1,5,2,2,1,5,1,3,1,1,2,1,3,2,1,1,3,2,4,2,2,2,1,5,2,2,1,5,1,3,1,5,3,2,5,5,5,4,1,5,5,4,1,1,4,5,5,5,5,1,1,1,1,1,1,1,1,1,2,2,3,5,5,1,5,1,1,1,1,4,3,1,1,3,3,5,1,1,1,1,2,2,3,5,5,1,2,1,1,5,1,1,2,2,1,5,4,4,5,3,1,3,4,5,3,2,3,2,1,1,1,1,3,1,1,5,3,2,2,4,1,3,2,2,1,1,5,3,2,1,2,5,3,1,2,2,2,5,3,2,2,4,1,3,1,5,3,2.555555556,4,2.777777778,2.375,4.375,3.5,1.125,1,1.375, ,2.57,2.57, ,2.41,2.57
 ,4,0,3,2,2,3,2,2,4,4,4,4,2,2,2,3,2,2,2,2,3,3,2,2,2,2,2,2,2,3,3,2,2,2,3,1,1,1,2,3,2,2,2,1,3,2,2,3,3,3,2,3,3,2,2,2,3,2,2,3,1,1,2,2,2,4,1,4,4,2,2,2,2,2,2,2,2,2,4,4,4,2,3,3,3,1,2,2,1,1,3,2,1,1,1,3,3,2,1,1,2,5,3,3,3,3,3,1,2,2,1,1,3,3,3,2,2,4,2,2,4,4,4,4,2,2,4,4,4,4,4,5,5,3,4,2,2,2,2,4,4,4,2,3,3,2,2,2,3,1,1,1,3,4,3,3,3,3,4,5,3,2,2,3,2,3,3,2,2,3,5,2,3,3,3,2.333333333,3.111111111,2.625,2.5,3.625,2.25,3.125,3,2.14,1.14,2.71,2.42,2.23,2.92
1,8,1,7,3,4,4,3,3,3,4,3,3,5,3,5,4,5,5,5,2,3,2,1,1,1,5,3,3,1,4,4,1,2,1,2,3,1,2,1,5,4,4,2,2,4,3,2,3,3,2,1,4,4,1,2,3,3,1,3,2,4,3,5,4,2,1,2,3,4,2,3,3,4,4,3,4,4,2,3,1,1,1,1,1,2,1,3,3,3,1,1,2,2,2,3,4,5,4,4,2,2,4,3,4,3,4,4,1,3,3,3,1,2,3,1,2,2,3,4,4,3,3,2,3,4,4,1,3,5,4,3,4,3,1,2,2,1,1,2,5,3,3,2,4,3,3,2,1,4,2,2,3,1,4,5,4,2,3,4,2,4,3,3,3,2,4,3,3,2,4,4,1,3,4,3.333333333,3.111111111,3.333333333,3.75,3.625,3.5,2.375,1.5,2.375,1.71,2.14,2.86,2.8,2.95,3.14
1,6,1,4,3,5,3,3,3,3,2,2,2,1,1,1,5,5,5,5,5,1,1,1,1,1,1,1,1,3,3,3,3,3,3,4,1,1,1,1,4,3,2,1,1,3,5,3,3,3,5,3,3,3,3,3,3,4,3,3,4,4,5,3,3,5,1,1,1,1,1,2,3,5,5,5,5,5,5, ,2,2,2,3,2,2,3,3,1,2,3,1,3,1,2,1,2,4,3,4,1,2,3,4,4,4,3,3,3,3,1,2,3,3,1,1,3,3,4,5,3,3,5,1,2,1,1,1,1,4,5,5,5,5,1,2,1,2,2,1,2,2,2,3,5,5,3,3,2,4,3,3,1,2,5,5,5,2,3,5,5,5,3,4,5,3,5,5,3,3,5,5,2,3,4,2.888888889,2.666666667,2.777777778,4.5,4.625,4.375,1, ,1.75,2.43,2.71,3.14,3.22,2.93,3.93
1,6,1,5,1,1,3,3,2,5,3,3,3,1,2,5,4,5,5,4,1,2,1,1,1,1,1,1,1,3,3,3,3,3,3,3,2,1,3,2,4,3,1,1,3,3,3,1,1,1,3,3,3,3,3,3,4,3,3,3,3,2,2,2,2,2,1,3,3,4,1,1,3,3,5,5,5,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,1,2,1,2,4,3,2,2,2,3,3,2,2,2,3,2,2,2,2,2,3,2,2,2,3,4,4,4,3,3,3,3,2,4,2,3,2,4,3,4,4,3,2,2,2,1,1,2,2,1,3,3,4,5,3,3,5,2,2,3,3,4,2,2,2,2,3,3,3,3,3,3,3,3,4,5,3,3,2,3,3,5,2.666666667,2.333333333,3.333333333,4.125,4.375,3.375,1.125,2,1.625,3,2,3.43,2.68,2.44,3.36
0,5,1,4,2,2,5,1,3,1,5,5,3,2,2,5,2,5,1,1,1,1,1,1,2,1,1,1,1,2,3,2,2,3,3,3,2,2,2,2,4,2,1,1,4,3,1,2,1,3,2,2,3,2,2,3,3,2,3,3,3,2,2,4,4,4,4,5,5,5,2,2,4,3,4,2,3,1,1,1,1,1,1,1,2,2,2,3,3,3,2,2,3,2,3,1,2,3,2,3,1,3,4,2,1,2,2,3,2,3,3,3,2,3,3,2,3,3,2,2,5,4,2,3,5,5,5,4,4,3,4,4,3,3,2,2,2,2,2,2,2,2,2,3,5,4,4,2,3,3,2,2,1,2,5,4,4,2,3,5,2,3,1,2,5,3,5,4,4,2,3,2,3,4,3,3,3.888888889,3.666666667,2.875,3.125,2.875,1.125,1.25,2, ,3,3.29, ,2.83,3.44
1,3,1,2,1,1,2,2,3,3,4,3,3,2,2,3,5,5,5,5,3,1,1,1,1,1,1,1,1,5,5,4,3,3,2,3,2,2,2,2,3,3,3,3,4,3,3,4,4,4,4,5,5,4,3,3,4,4,2,3,3,3,1,3,4,4,3,2,2,2,3,3,4,5,5,5,5,3,1,1,1,1,1,1,2,1,3,4,4,3,3,3,4,3,3,3,3,3,4,3,2,3,4,2,3,4,4,4,3,4,4,3,3,2,2,3,3,4,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2.444444444,2.666666667,3,4.25,4.125,3.125,1,1.125,1,3.43,3.14,3,3.55,3.32,3.06
0,8,1,2,3,3,5,4,3,2,3,1,1,1,2,5,5,5,5,5,5,1,1,1,1,1,1,3,3,4,5,5,4,4,5,4,3,3,1,1,4,2,4,5,2,3,3,4,5,4,5,4,5,5,4,4,5,2,5,5,4,3,3,4,5,4,2,5,4,3,1,2,5,5,5,5,5,4,1,2,2,2,2,2,2,2,2,5,4,4,4,4,5,3,3,3,2,4,4,4,1,5,4,4,5,5,4,5,2,5,4,4,4,5,4,4,3,5,3,4,5,4,4,2,2,1,1,1,2,5,5,5,5,5,4,1,1,2,2,2,1,2,2,3,5,4,4,4,3,2,5,4,3,3,4,5,4,3,2,4,4,5,4,5,5,3,5,4,4,4,2,3,3,3,2,2.777777778,3.666666667,2.888888889,4.875,4.75,4.75,1.5,1.875,1.625,4.57,4,3.57,3.88,3.89,3.88
1,5,0,3,3,4,3,3,2,3,5,4,2,1,2,4,4,5,2,4,2,1,1,1,1,1,1,1,1,4,5,3,5,2,2,5,4,3,3,2,5,5,5,1,4,4,5,3,2,4,2,4,5,3,5,2,5,5,2,3,5,3,4,3,3,3,2,4,5,4,2,2,2,2,4,3,3,2,1,1,1,1,1,2,2,1,3,5,5,4,5,3,4,4,4,4,2,5,5,5,2,5,4,3,4,4,5,5,3,5,5,4,5,5,5,3,4,4,4,4,3,4,4,2,4,3,3,1,2,2,4,2,2,2,2,1,2,1,1,1,1,3,1,4,5,5,5,5,3,5,3,3,4,1,5,5,5,1,1,5,5,3,5,5,4,4,5,5,5,5,3,5,3,2,5,3.222222222,3.444444444,3.444444444,3.75,3,2.875,1,1.25,1.375,3.14,4,4.57,3.14,4.1,3.95
0,7,0,6,3,2,4,3,3,3,2,3,5,5,2,5,5,4,4,5,1,5,5,5,5,5,5,5,5,2,2,3,2,1,3,4,4,4,4,4,3,2,1,1,5,2,3,2,2,2,4,2,2,3,2,1,4,4,3,3,4,2,2,3,3,4,4,3,2,4,5,2,2,4,5,5,4,2,2,2,4,3,2,3,4,2,3,4,3,2,3,3,4,3,3,2,2,4,3,2,3,3,3,4,3,3,3,3,3,4,3,2,3,3,3,3,3,4,3,2,4,4,4,3,4,3,4,5,2,3,5,5,4,4,1,3,3,3,3,2,2,4,1,3,4,4,3,3,3,3,3,4,4,3,4,3,3,3,4,3,4,3,5,5,3,3,4,4,3,3,4,3,3,3,3,3.111111111,3,3.444444444,3.625,3.375,3.375,5,2.75,2.625,1.57,2.43,3.14,2.3,3.03,3.27
0,9,1,7,3,3,5,5,3,1,2,1,1,2,2,1,1,3,3,4,1,1,1,1,1,1,1,1,1,3,4,3,3,4,4,4,3,3,5,2,4,3,4,4,3,4,4,4,2,2,4,3,4,3,3,4,3,3,4,4,4,3,4,5,5,4,2,5,4,5,5,3,1,4,2,2,2,2,1,1,1,1,1,1,1,1,4,5,4,5,5,5,4,4,4,5,1,4,4,4,4,4,4,5,4,3,3,5,4,5,4,5,5,5,4,5,5,4,3,3,5,5,4,1,4,4,4,2,2,1,3,4,4,4,2,1,2,2,2,2,2,2,2,3,5,5,4,2,4,5,4,4,5,2,4,4,4,4,4,4,5,5,2,3,4,3,5,5,4,2,5,3,4,4,5,2.666666667,4.111111111,3.666666667,2.625,2.125,3.25,1,1,1.875,3.29,4.43,3.43,3.39,4.22,3.86
0,8,0,3,3,2,5,3,3,3,2,1,3,2,2,2,4,5,5,5,5,2,1,1,1,2,1,1,1,2,3,2,3,3,2,3,3,3,3,3,3,2,3,2,2,3,3,3,3,3,3,2,3,2,3,3,3,3,2,2,3,3,2,4,3,3,3,4,4,3,2,2,3,3,4,3,2,3,2,2,2,2,2,3,2,2,3,4,4,3,2,3,3,3,3,2,3,3,3,3,2,3,4,3,2,3,3,3,3,4,4,3,2,3,2,3,3,3,3,2,3,3,3,3,3,3,2,2,2,2,3,4,4,4,2,2,2,2,2,2,2,2,2,3,4,4,3,3,3,3,3,3,2,3,4,2,2,2,3,3,3,3,2,3,3,3,4,4,3,3,3,3,3,3,3,2.777777778,3.222222222,2.777777778,4.25,3.25,3.375,1.25,2.125,2,2.57,3.14,3.14,2.59,2.86,2.81
0,8,1,2,2,2,2,2,5,1,5,5,5,1,1,1,2,5,5,1,1,1,2,2,2,2,3,2,1,2,1,1,2,3,5,4,5,5,5,1,4,4,4, ,3,3,1,3,3,2,3,2,1,1,2,3,1,1,5,1,4,1,3,5,5,5,1,1,4,5,1,1,3,5,5,5,5,5,3,3,5,5,5,5,5,5,2,3,3,3,2,2,5,5,5,5,1,3,3,3,2,5,2,5,3,4,2,5,2,3,3,3,2,1,1,2,2,5,1,1,1,2,3,3,5,5,5,4,1,1,1,5,5,5,5,4,5,5,5,5,5,1,1,1,4,2,3,4,3,3,3,3,3,1,3,4,2,2,4,5,1,4,2,2,5,1,4,2,3,4,1,1,3,1,3,3.222222222,3.333333333,2.888888889,3.125,4.75,3.625,1.875,4.5,3.875,2.14,2.29,2, ,2.94,2.71
0,9,1,7,3,3,3,3,3,3,4,4,4,3,2,3,4,4,4,3,3,2,2,2,2,2,2,2,2,3,3,3,2,3,3,3,3,2,2,5,3,3,2,2,2,3,3,2,2,2,3,3,3,3,2,3,2,3,3,2,3,3,3,3,3,3,3,4,4,4,2,2,2,4,4,4,3,3,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,2,2,2,4,3,4,3,3,2,2,2,2,2,2,2,2,3,3,3,2,3,3,3,3,3,3,3,4,4,4,2,4,3,4,3,3,4,3,3,3,3,2,3,3,3,3,2,3,3.333333333,3.333333333,3.333333333,3.5,3.5,3.375,2,2,2,2.57,3,2.86,2.54,2.89,3.1
0,8,1, ,3,3,5,4,3,3,3,3,2,1,1,4,5,5,5,5,5,2,3,3,3,2,2,3,3,3,4,4,4,4,2,5,3,1,2,1,4,3,4,2,3,4,5,3,2,4,5,3,4,4,4,4,4,5,2,4,5,3,3,5,5,3,2,4,3,3,2,2,2,4,5,5,4,4,2,2,3,3,2,2,3,2,3, ,4,4,4,3,3,3,2,2,2,4,3,5,2,4,4,5,3,3,2,5,3, ,4,4,4,5,5,3,5,3,4,3,5,4,4,3,5,4,4,2,2,2,5,5,5,5,4,1,2,1,2,2,2,2,2,4,5,4,4,4,3,4,3,3,2,2,4,3,3,2,4,5,5,5,3,4,4,4,5,4,4,4,5,4,3,5,4,3.222222222,3.444444444,4,4.875,4,4.25,2.625,2.375,1.75,3.71,3.86,4,3.47, ,3.87
1,8,1,2,3,3,3,2,2,3,4,5,5,2,2,3,4,5,4,5,5,1,2,1,2,1,1,1,1,3,3,3,4,2,3,3,2,2,3,2,4,2,2,1,2,3,3,2,2,2,2,3,3,3,4,2,3,3,3,3,3,3,2,1,1,3,3,4,4,5,2,1,3,4,4,4,5,3,1,1,1,1,1,2,1,1,3,4,4,4,4,3,3,2,3,3,2,5,3,2,1,2,4,4,2,2,2,2,3,4,4,4,4,2,3,3,2,3,3,3,4,3,3,1,2,1,1,2,2,4,5,4,4,5,4,2,2,2,2,1,2,2,2,3,5,4,3,3,3,4,3,3,3,2,5,2,2,1,3,5,5,2,2,2,3,3,5,4,3,3,3,2,3,2,4,3.333333333,2.888888889,2.333333333,4.25,4,4.25,1.25,1.125,1.875,2.86,3.43,3.14,2.79,3,2.85
